"Video ID",Title,Length,Published,"Region Restriction Count"
2plaLTvvQ6g,"Police Vs Criminals | Exploring Modern Masculinity (Grayson Perry Documentary) | Real Stories","45m 45s","2022-06-21T16:00:04Z","5 (blocked)"
Xx_mtZgUE1g,"Finding Shelter Within Israel's Gay Community As Gay Palestinians | Real Stories","1h 8m 18s","2022-06-19T16:00:30Z","2 (blocked)"
woJ5xlAcZ0U,"Released To Kill Again (Criminal Justice System Documentary) | Real Stories","45m 20s","2022-06-18T16:00:35Z",""
JeouPJioOZs,"Stonewall at 50 (Pride History Documentary) | Real Stories","33m 30s","2022-06-16T16:00:09Z",""
sZ1leWJ0etk,"Terrorist Attack Survivors Search For Answers (Religious Extremism Documentary) | Real Stories","1h 37m 30s","2022-06-14T16:00:25Z","9 (allowed)"
ZMgLMfNvY0Q,"The Murdered Millionaire (True Crime Documentary) | Real Stories","50m 5s","2022-06-12T16:00:26Z","1 (blocked)"
"T-1FYd3s4SA","Rags to Riches Hero: Quest to Cure my Cancer Curse | Real Stories","1h 20m 7s","2022-06-09T16:00:16Z","9 (allowed)"
WDh4on1B2BA,"Brexit Britain: Divided Forever? (Grayson Perry Documentary) | Real Stories","46m 41s","2022-06-07T16:00:14Z","6 (blocked)"
U1SJn8WDIdU,"Detroit Never Gives Up! (City Poverty Documentary) | Real Stories","1h 22m 19s","2022-06-05T16:00:11Z","9 (allowed)"
U0onvrn71Qc,"The Fall of FIFA? How Qatar Got the 2022 World Cup (Corruption Documentary) | Real Stories","59m 18s","2022-06-04T16:00:13Z",""
4GGuRdotJGA,"Elite World of Private Nannies & Childcare Super-experts (Rich Families Documentary) | Real Stories","46m 17s","2022-06-02T16:00:04Z","5 (blocked)"
4gMqzfucuCc,"The Mysterious Murder of a Brilliant Mathematics Professor (Crime Documentary) | Real Stories","1h 43m 15s","2022-05-31T16:00:02Z","9 (allowed)"
1WvVIZff4XM,"Reggie Yates Visits The Most Extreme Places! | BACK-TO-BACK Documentaries | Real Stories","3h 16m 55s","2022-05-29T16:00:03Z","5 (blocked)"
NU4J7t8qvdc,"Coffee Shop Killings and a Fatal Friendship (True Crime Stories BACK-TO-BACK) | Real Stories","1h 38m 54s","2022-05-28T16:00:18Z","1 (blocked)"
YRMXhAXjccc,"Canada's Top Guns: From Cadet to Pilot in 7 Weeks (Air Force Documentary) | Real Stories","1h 24m 10s","2022-05-26T16:00:24Z",""
JJF0TB6nJhI,"Unmanned: America's Drone War (Warfare Documentary) | Real Stories","1h 3m 19s","2022-05-24T16:00:09Z","9 (allowed)"
YYo652xpd1k,"Climate Anxiety Around the World | Seat At The Table","4m 47s","2022-05-23T11:12:58Z",""
kmGbvlqLlVo,"Stories From the Doctors Office (Medical Documentary Compilation) | Real Stories","2h 12m 37s","2022-05-22T16:00:20Z","6 (allowed)"
"Tn2f-B_Gzcg","Grieving for Earth: How to Cope with Climate Anxiety | Seat At The Table","24m 41s","2022-05-19T17:00:24Z",""
8LoXP7Dp28Y,"Can Marijuana Help Cancer Patients? (Medical Documentary) | Real Stories","1h 12m 20s","2022-05-17T16:00:08Z",""
"r6LUL-aZBpg","Struggle To Survive: The Lives of Four Girls Over Ten Years | Real Stories","55m 31s","2022-05-15T16:00:22Z",""
DrR8nKKj28M,"Off The Rail: Jailed 23 Times for Impersonating New York City Bus Drivers | Real Stories","1h 29m 30s","2022-05-14T16:00:13Z","2 (blocked)"
