Video ID,Title,Length,Published
Fv7VXipiVl0,Noise makes you sick - How can we deal with noise pollution? | DW Documentary,25m 57s,2022-06-12T16:00:06Z
apxtznjBasU,Yemen's dirty war | DW Documentary,51m 56s,2022-06-11T16:00:01Z
13wBOPOLWqU,Snowdrops from Georgia | DW Documentary,12m 26s,2022-06-10T16:00:01Z
gWVQP8uTpPM,How dangerous are volcanoes in Germany? | DW Documentary,42m 27s,2022-06-08T16:00:36Z
gANQyV0W03E,Marine climate change - Can our sealife survive? | DW Documentary,28m 27s,2022-06-07T16:00:21Z
X0DqsflQbk0,What leads mothers to kill their children? | DW Documentary (True crime documentary),51m 56s,2022-06-05T16:00:24Z
I9arI2e5bkw,Biofuel instead of coal and oil - How promising are these renewable resources? | DW Documentary,42m 26s,2022-06-04T16:00:17Z
QicSkPNx4Ho,Fast fashion - Dumped in the desert | DW Documentary,28m 26s,2022-05-31T16:00:27Z
us9FdlP59Ro,A Ukrainian family in Berlin | DW Documentary,12m 26s,2022-05-30T16:00:40Z
nCLysRGCIFU,Intimacy despite disabilities | DW Documentary,24m 27s,2022-05-29T16:00:23Z
y-5VLHcTDSQ,More life - Decoding the secret of aging | DW Documentary,51m 41s,2022-05-28T16:00:34Z
DboTyNu-FLk,Obesity and corporate greed | DW Documentary,42m 26s,2022-05-26T16:00:07Z
ET20WZxm2kk,Serbia Russia and the war in Ukraine | DW Documentary,28m 18s,2022-05-24T16:00:13Z
rq_v0flJiEQ,Saint Helena: Breathtaking nature in one of the most remote places on earth | DW Documentary,42m 26s,2022-05-20T16:00:23Z
Dy8ogOaKk4Y,Google Facebook Amazon - The rise of the mega-corporations | DW Documentary,42m 27s,2022-05-19T16:00:12Z
ZcWyD4LYLmg,Dancing drugs and death - The excesses of Berlin’s club culture | DW Documentary,42m 26s,2022-05-18T16:00:13Z
OhM-Aeyqp6c,The battle against the sea - Coastal erosion in Portugal | DW Documentary,28m 26s,2022-05-17T16:00:15Z
zjW_6ArOQ1w,Russians in Germany clash over the war in Ukraine | DW Documentary,12m 26s,2022-05-16T16:00:37Z
QpeWTkVmUcY,The healing power of music - How does music impact us? | DW Documentary,40m 56s,2022-05-15T16:00:11Z
wRurT3T6fj8,Ukraine: Risking his life to help | DW Documentary,12m 27s,2022-05-12T17:30:09Z
csyGP2taOtE,Foreigners fighting for Ukraine | DW Documentary,12m 26s,2022-05-09T16:00:31Z
VX6xMrTJRCo,Spies informants and new enemies - Today’s intelligence agencies | DW Documentary,42m 27s,2022-05-08T16:00:24Z
HRFAuIKkP7o,The new Cold War - More nuclear weapons in Europe? | DW Documentary,52m 23s,2022-05-07T16:00:07Z
NSB6oCza2k8,Abortion in Europe | DW Documentary,42m 27s,2022-05-06T16:00:23Z
HYm7aJqXK8A,Uncovering crime and corruption - Anabel Hernández takes on Mexico's drug cartels | DW Documentary,51m 55s,2022-05-03T17:00:13Z
1jhN9fJ09mk,Young and old tackle climate change | DW Documentary,12m 26s,2022-05-02T16:00:02Z
BqCOMGopJNs,Italy's rescue dogs - How man's best friend saves lives | DW Documentary,25m 56s,2022-05-01T16:00:08Z
3pT9xE9pJ1A,Seychelles - Paradise under threat | DW Documentary,28m 26s,2022-04-26T16:00:03Z
oQ6gUbIE-kw,From Kabul to Berlin: The founder of Afghanistan's first modeling agency | DW Documentary,12m 26s,2022-04-25T16:00:21Z
gYo-icA2848,Can the global criminal network be destroyed? | DW Documentary,42m 27s,2022-04-24T16:00:31Z
HDtFpGfORpE,Fake news propaganda and conspiracy theories - The fight against disinformation | DW Documentary,42m 26s,2022-04-21T16:00:14Z
wHWc31B24Rw,Likes selfies and self-promotion - The hidden dangers of social media | DW Documentary,42m 28s,2022-04-20T16:00:24Z
icXNWOHsU1Q,A threat to human rights - The legal battle to stop climate change | DW Documentary,28m 7s,2022-04-19T16:00:30Z
XN0vnUI_Vps,France: Painting for the homeless | DW Documentary,12m 27s,2022-04-18T16:00:21Z
XuENzXlm1R0,Tea: New ideas for the world‘s second most popular drink | DW Documentary,25m 5s,2022-04-16T16:00:15Z
MZ60UDys_ZE,Drones hackers and mercenaries - The future of war | DW Documentary,42m 27s,2022-04-14T16:00:09Z
4itF-rsJKt0,The power of the drugs mafia - Cocaine and the Netherlands | DW Documentary,28m 26s,2022-04-12T16:00:02Z
VWRcjEbcNVQ,Oil or wind? - Energy transition in the U.S. | DW Documentary,12m 26s,2022-04-11T16:00:26Z
9j5-Ld2sOsw,Floods and drought in Nepal: The cost of climate change | DW Documentary,51m 55s,2022-04-09T16:00:03Z
YH1wn3D9HNg,The mysterious disease that affects millions of people worldwide | DW Documentary,42m 27s,2022-04-07T16:00:17Z
n6EOShlvbqM,Fleeing war in Ukraine - Tanya’s story | DW Documentary,28m 32s,2022-04-05T16:21:07Z
qAKeJSoT5No,Syrians in Sinzig: Refugees help Germans rebuild after devastating floods | DW Documentary,12m 26s,2022-04-04T16:00:26Z
NOazEIijXTo,How does touch affect our mental and physical health? | DW Documentary,51m 55s,2022-04-02T16:00:08Z
Lm9k6xrnLNU,How halal products affect the economy | DW Documentary,42m 26s,2022-04-01T16:00:14Z
lvTbqh0sS58,A man with the memories of a woman - I was born in Berlin | DW Documentary,51m 55s,2022-03-30T16:00:23Z
roeBgx3M5Eo,War in Ukraine - Fight or flight? | DW Documentary,28m 27s,2022-03-29T16:00:34Z
48DaLYiO-yk,Russia: A small town clings to its Soviet past | DW Documentary,53m 10s,2022-03-29T13:30:01Z
uMpsoFGXAJM,German aid for Ukraine | DW Documentary,12m 27s,2022-03-28T16:00:48Z
